Medicine_Name,Medicine_Category,Dosage_Form,Strength_mg,Classification,Manufacturer,Animal_Type,Breed,Age,Gender,Weight,Symptom_1,Symptom_2,Symptom_3,Symptom_4,All_Symptoms,Disease,Body_Temperature,Heart_Rate
acetocillin,antipyretic,drops,202.0,over-the-counter,novo nordisk a/s,cat,british shorthair,7,female,4.4,nasal discharge,eye discharge,sneezing,lethargy,"nasal discharge, eye discharge, sneezing, lethargy",upper respiratory infection,38.6,142
acetocillin,antipyretic,drops,202.0,over-the-counter,novo nordisk a/s,cow,guernsey,4,male,590.0,appetite loss,lethargy,diarrhea,dehydration,"appetite loss, lethargy, diarrhea, dehydration",bovine coccidiosis,39.3,84
acetocillin,antipyretic,drops,202.0,over-the-counter,novo nordisk a/s,cow,guernsey,5,male,610.0,nasal discharge,coughing,labored breathing,fever,"nasal discharge, coughing, labored breathing, fever",bovine influenza,39.9,82
acetocillin,antiseptic,capsule,263.0,over-the-counter,glaxosmithkline plc,cow,hereford,7,female,590.0,diarrhea,dehydration,lethargy,appetite loss,"diarrhea, dehydration, lethargy, appetite loss",bovine johne's disease,39.3,84
acetocillin,antipyretic,drops,202.0,over-the-counter,novo nordisk a/s,cow,simmental,8,male,580.0,appetite loss,weight loss,fever,lethargy,"appetite loss, weight loss, fever, lethargy",bovine johne's disease,39.3,80
acetocillin,antipyretic,drops,202.0,over-the-counter,novo nordisk a/s,cow,hereford,7,female,580.0,loss of appetite,fever,coughing,lethargy,"loss of appetite, fever, coughing, lethargy",bovine johne's disease,39.5,80
acetocillin,antipyretic,drops,202.0,over-the-counter,novo nordisk a/s,cow,ayrshire,7,female,550.0,coughing,loss of appetite,lethargy,fever,"coughing, loss of appetite, lethargy, fever",bovine johne's disease,39.4,75
acetocillin,antipyretic,drops,202.0,over-the-counter,novo nordisk a/s,cow,red angus,5,female,620.0,fever,diarrhea,lethargy,appetite loss,"fever, diarrhea, lethargy, appetite loss",bovine leukemia virus,39.8,83
acetocillin,antipyretic,drops,202.0,over-the-counter,novo nordisk a/s,cow,holstein,3,male,700.0,coughing,loss of appetite,lethargy,fever,"coughing, loss of appetite, lethargy, fever",bovine mastitis,39.2,90
acetocillin,antipyretic,drops,202.0,over-the-counter,novo nordisk a/s,cow,guernsey,5,female,450.0,coughing,loss of appetite,lethargy,fever,"coughing, loss of appetite, lethargy, fever",bovine parainfluenza,39.0,78
acetocillin,antipyretic,drops,202.0,over-the-counter,novo nordisk a/s,cow,holstein,7,male,590.0,coughing,nasal discharge,labored breathing,lethargy,"coughing, nasal discharge, labored breathing, lethargy",bovine pneumonia,39.9,80
acetocillin,antipyretic,drops,202.0,over-the-counter,novo nordisk a/s,cow,hereford,5,male,650.0,fever,lethargy,decreased milk yield,appetite loss,"fever, lethargy, decreased milk yield, appetite loss",bovine respiratory disease,39.7,80
acetocillin,antipyretic,drops,202.0,over-the-counter,novo nordisk a/s,cow,angus,5,female,700.0,fever,decreased milk yield,lethargy,nasal discharge,"fever, decreased milk yield, lethargy, nasal discharge",bovine respiratory disease,39.8,80
acetocillin,antipyretic,drops,202.0,over-the-counter,novo nordisk a/s,cow,angus,6,male,600.0,coughing,nasal discharge,labored breathing,fever,"coughing, nasal discharge, labored breathing, fever",bovine respiratory disease,39.9,82
acetocillin,antipyretic,drops,202.0,over-the-counter,novo nordisk a/s,cow,angus,8,male,580.0,coughing,labored breathing,lethargy,nasal discharge,"coughing, labored breathing, lethargy, nasal discharge",bovine respiratory disease,40.0,83
acetocillin,antipyretic,drops,202.0,over-the-counter,novo nordisk a/s,cow,brown swiss,9,male,600.0,labored breathing,nasal discharge,coughing,fever,"labored breathing, nasal discharge, coughing, fever",bovine respiratory disease,39.6,80
acetocillin,antipyretic,drops,202.0,over-the-counter,novo nordisk a/s,cow,angus,6,male,550.0,coughing,nasal discharge,fever,weight loss,"coughing, nasal discharge, fever, weight loss",bovine respiratory disease,39.4,82
acetocillin,antipyretic,drops,202.0,over-the-counter,novo nordisk a/s,cow,aberdeen angus,6,female,620.0,coughing,fever,loss of appetite,lethargy,"coughing, fever, loss of appetite, lethargy",bovine respiratory disease,39.2,80
acetocillin,antipyretic,drops,202.0,over-the-counter,novo nordisk a/s,cow,holstein,4,male,700.0,coughing,loss of appetite,lethargy,fever,"coughing, loss of appetite, lethargy, fever",bovine respiratory disease,39.3,77
acetocillin,antipyretic,drops,202.0,over-the-counter,novo nordisk a/s,cow,holstein,8,male,650.0,coughing,loss of appetite,lethargy,fever,"coughing, loss of appetite, lethargy, fever",bovine respiratory disease complex,39.5,80
acetocillin,antipyretic,drops,202.0,over-the-counter,novo nordisk a/s,cow,jersey,6,female,600.0,fever,nasal discharge,decreased milk yield,lethargy,"fever, nasal discharge, decreased milk yield, lethargy",bovine respiratory syncytial virus,39.4,86
acetocillin,antipyretic,drops,202.0,over-the-counter,novo nordisk a/s,cow,holstein,5,female,620.0,coughing,fever,loss of appetite,lethargy,"coughing, fever, loss of appetite, lethargy",bovine respiratory syncytial virus,39.3,82
acetocillin,antipyretic,drops,202.0,over-the-counter,novo nordisk a/s,cow,simmental,4,male,650.0,coughing,loss of appetite,lethargy,fever,"coughing, loss of appetite, lethargy, fever",bovine respiratory syncytial virus,39.3,78
acetocillin,antipyretic,drops,202.0,over-the-counter,novo nordisk a/s,cow,jersey,6,male,570.0,coughing,nasal discharge,labored breathing,fever,"coughing, nasal discharge, labored breathing, fever",bovine tuberculosis,39.4,81
acetocillin,antipyretic,drops,202.0,over-the-counter,novo nordisk a/s,cow,holstein,7,female,650.0,coughing,nasal discharge,appetite loss,fever,"coughing, nasal discharge, appetite loss, fever",bovine tuberculosis,39.4,79
acetocillin,antipyretic,drops,202.0,over-the-counter,novo nordisk a/s,cow,charolais,5,female,620.0,lethargy,coughing,nasal discharge,fever,"lethargy, coughing, nasal discharge, fever",bovine tuberculosis,39.6,81
acetocillin,antipyretic,drops,202.0,over-the-counter,novo nordisk a/s,cow,guernsey,7,male,590.0,coughing,lethargy,loss of appetite,swollen legs,"coughing, lethargy, loss of appetite, swollen legs",bovine tuberculosis,39.1,78
acetocillin,antipyretic,drops,202.0,over-the-counter,novo nordisk a/s,cow,jersey,5,male,560.0,coughing,loss of appetite,lethargy,fever,"coughing, loss of appetite, lethargy, fever",bovine tuberculosis,39.1,79
acetocillin,antipyretic,drops,202.0,over-the-counter,novo nordisk a/s,cow,hereford,3,female,570.0,lethargy,diarrhea,appetite loss,dehydration,"lethargy, diarrhea, appetite loss, dehydration",bovine viral diarrhea,39.1,80
acetocillin,antipyretic,drops,202.0,over-the-counter,novo nordisk a/s,cow,jersey,5,female,500.0,coughing,nasal discharge,lethargy,fever,"coughing, nasal discharge, lethargy, fever",bovine viral diarrhea,39.5,81
acetocillin,antipyretic,drops,202.0,over-the-counter,novo nordisk a/s,cow,dexter,3,male,450.0,coughing,loss of appetite,lethargy,fever,"coughing, loss of appetite, lethargy, fever",bovine viral diarrhea,39.3,79
acetocillin,antiseptic,capsule,263.0,over-the-counter,glaxosmithkline plc,cow,brown swiss,3,female,580.0,diarrhea,dehydration,loss of appetite,lethargy,"diarrhea, dehydration, loss of appetite, lethargy",coccidiosis,39.3,85
acetocillin,antiseptic,capsule,263.0,over-the-counter,glaxosmithkline plc,cow,limousin,2,male,550.0,diarrhea,lethargy,appetite loss,dehydration,"diarrhea, lethargy, appetite loss, dehydration",cryptosporidiosis,39.5,85
acetocillin,antipyretic,drops,202.0,over-the-counter,novo nordisk a/s,cow,holstein,3,female,600.0,fever,nasal discharge,labored breathing,coughing,"fever, nasal discharge, labored breathing, coughing",foot and mouth disease,40.1,90
acetocillin,antipyretic,drops,202.0,over-the-counter,novo nordisk a/s,cow,holstein,4,female,580.0,appetite loss,diarrhea,lethargy,decreased milk yield,"appetite loss, diarrhea, lethargy, decreased milk yield",johne's disease,39.4,82
acetocillin,antipyretic,drops,202.0,over-the-counter,novo nordisk a/s,cow,simmental,8,female,630.0,loss of appetite,weight loss,lethargy,reduced milk production,"loss of appetite, weight loss, lethargy, reduced milk production",johne's disease,39.5,83
acetocillin,antipyretic,drops,202.0,over-the-counter,novo nordisk a/s,cow,limousin,6,female,620.0,weight loss,reduced milk production,appetite loss,lethargy,"weight loss, reduced milk production, appetite loss, lethargy",johne's disease,39.4,85
acetocillin,antipyretic,drops,202.0,over-the-counter,novo nordisk a/s,cow,jersey,6,female,550.0,coughing,loss of appetite,lethargy,fever,"coughing, loss of appetite, lethargy, fever",johne's disease,39.6,70
acetocillin,antipyretic,drops,202.0,over-the-counter,novo nordisk a/s,cow,jersey,4,female,580.0,lethargy,decreased milk yield,fever,,"lethargy, decreased milk yield, fever",mastitis,39.6,70
acetocillin,antipyretic,drops,202.0,over-the-counter,novo nordisk a/s,cow,angus,3,female,590.0,decreased milk yield,fever,appetite loss,lethargy,"decreased milk yield, fever, appetite loss, lethargy",mastitis,39.5,70
acetocillin,antipyretic,drops,202.0,over-the-counter,novo nordisk a/s,cow,hereford,3,female,650.0,lethargy,fever,decreased milk yield,nasal discharge,"lethargy, fever, decreased milk yield, nasal discharge",mastitis,39.6,75
acetocillin,antipyretic,drops,202.0,over-the-counter,novo nordisk a/s,cow,brahman,7,female,620.0,fever,coughing,lethargy,decreased milk yield,"fever, coughing, lethargy, decreased milk yield",mastitis,39.6,81
acetocillin,antipyretic,drops,202.0,over-the-counter,novo nordisk a/s,cow,brahman,3,female,570.0,fever,nasal discharge,lethargy,coughing,"fever, nasal discharge, lethargy, coughing",respiratory syncytial virus,39.8,86
acetocillin,antiseptic,capsule,263.0,over-the-counter,glaxosmithkline plc,cow,jersey,3,male,620.0,diarrhea,lethargy,appetite loss,decreased milk yield,"diarrhea, lethargy, appetite loss, decreased milk yield",salmonellosis,39.7,79
acetocillin,antiseptic,capsule,263.0,over-the-counter,glaxosmithkline plc,cow,shorthorn,5,male,600.0,diarrhea,dehydration,lethargy,loss of appetite,"diarrhea, dehydration, lethargy, loss of appetite",salmonellosis,39.4,84
acetocillin,antipyretic,drops,202.0,over-the-counter,novo nordisk a/s,cow,jersey,6,male,620.0,weight loss,reduced milk production,lethargy,appetite loss,"weight loss, reduced milk production, lethargy, appetite loss",tuberculosis,39.4,87
acetocillin,antiseptic,capsule,263.0,over-the-counter,glaxosmithkline plc,dog,chihuahua,3,male,2.5,sneezing,eye discharge,labored breathing,lethargy,"sneezing, eye discharge, labored breathing, lethargy",allergic rhinitis,39.5,131
acetocillin,antipyretic,drops,202.0,over-the-counter,novo nordisk a/s,dog,golden retriever,4,male,30.0,lameness,swelling,appetite loss,fever,"lameness, swelling, appetite loss, fever",arthritis,39.5,110
acetocillin,antipyretic,drops,202.0,over-the-counter,novo nordisk a/s,dog,border collie,3,female,17.0,coughing,labored breathing,fever,nasal discharge,"coughing, labored breathing, fever, nasal discharge",bordetella infection,39.4,129
acetocillin,antipyretic,drops,202.0,over-the-counter,novo nordisk a/s,dog,bulldog,5,female,22.0,coughing,lethargy,loss of appetite,fever,"coughing, lethargy, loss of appetite, fever",canine cough,39.3,120
acetocillin,antipyretic,drops,202.0,over-the-counter,novo nordisk a/s,dog,bulldog,5,male,23.0,labored breathing,coughing,nasal discharge,appetite loss,"labored breathing, coughing, nasal discharge, appetite loss",canine distemper,40.0,115
acetocillin,analgesic,tablet,716.0,prescription,novartis ag,dog,beagle,2,female,9.0,fever,vomiting,lethargy,skin lesions,"fever, vomiting, lethargy, skin lesions",canine distemper,39.2,132
acetocillin,antipyretic,drops,202.0,over-the-counter,novo nordisk a/s,dog,labrador retriever,11,male,35.0,lethargy,loss of appetite,fever,vomiting,"lethargy, loss of appetite, fever, vomiting",canine distemper,39.3,118
acetocillin,antipyretic,drops,202.0,over-the-counter,novo nordisk a/s,dog,doberman pinscher,6,male,40.0,vomiting,lethargy,loss of appetite,coughing,"vomiting, lethargy, loss of appetite, coughing",canine distemper,39.3,119
acetocillin,antipyretic,drops,202.0,over-the-counter,novo nordisk a/s,dog,poodle,6,male,25.0,lethargy,loss of appetite,coughing,fever,"lethargy, loss of appetite, coughing, fever",canine distemper,39.3,110
acetocillin,antipyretic,drops,202.0,over-the-counter,novo nordisk a/s,dog,rottweiler,5,female,40.0,lethargy,vomiting,loss of appetite,fever,"lethargy, vomiting, loss of appetite, fever",canine distemper,39.3,122
acetocillin,antipyretic,drops,202.0,over-the-counter,novo nordisk a/s,dog,golden retriever,7,male,30.0,coughing,loss of appetite,lethargy,fever,"coughing, loss of appetite, lethargy, fever",canine distemper,39.0,130
acetocillin,antipyretic,drops,202.0,over-the-counter,novo nordisk a/s,dog,shih tzu,4,female,7.0,coughing,labored breathing,appetite loss,lethargy,"coughing, labored breathing, appetite loss, lethargy",canine flu,39.3,133
acetocillin,antipyretic,drops,202.0,over-the-counter,novo nordisk a/s,dog,yorkshire terrier,4,male,8.0,lethargy,vomiting,loss of appetite,fever,"lethargy, vomiting, loss of appetite, fever",canine heartworm disease,39.2,100
acetocillin,antipyretic,drops,202.0,over-the-counter,novo nordisk a/s,dog,akita,6,male,35.0,lethargy,loss of appetite,fever,vomiting,"lethargy, loss of appetite, fever, vomiting",canine hepatitis,39.5,130
acetocillin,analgesic,tablet,716.0,prescription,novartis ag,dog,shih tzu,8,female,8.0,lethargy,vomiting,diarrhea,loss of appetite,"lethargy, vomiting, diarrhea, loss of appetite",canine hepatitis,39.0,130
acetocillin,antipyretic,drops,202.0,over-the-counter,novo nordisk a/s,dog,german shepherd,4,male,32.0,lethargy,vomiting,loss of appetite,fever,"lethargy, vomiting, loss of appetite, fever",canine hepatitis,39.1,130
