Name,Category,Dosage Form,Strength,Manufacturer,Indication,Classification,,Manufactured Date,Expiry Date
Cefmet,Antidepressant,Injection,720 mg,Sanofi S.A.,Diabetes,Prescription,,2024-05-13,2026-02-11
Cefnazole,Antiviral,Inhaler,520 mg,CSL Limited,Diabetes,Prescription,,2024-01-20,2026-10-10
Acetovir,Antidepressant,Injection,188 mg,"Gilead Sciences, Inc.",Wound,Prescription,,2023-06-03,2025-07-02
Dextrophen,Analgesic,Inhaler,406 mg,"Merck & Co., Inc.",Wound,Over-the-Counter,,2021-09-01,2023-07-10
Amoxinazole,Analgesic,Ointment,35 mg,Pfizer Inc.,Depression,Prescription,,2020-04-09,2022-08-13
Dextromet,Antiviral,Syrup,564 mg,AstraZeneca plc,Fever,Prescription,,2022-09-28,2024-11-04
Clarinazole,Antibiotic,Syrup,252 mg,Novartis AG,Infection,Over-the-Counter,,2022-09-12,2024-09-22
Ibuproprofen,Antidepressant,Inhaler,832 mg,Amgen Inc.,Fungus,Over-the-Counter,,2024-10-25,2027-07-30
Clarinazole,Analgesic,Tablet,234 mg,Novartis AG,Diabetes,Prescription,,2025-05-31,2028-03-19
Clariprofen,Antidepressant,Cream,801 mg,Boehringer Ingelheim GmbH,Infection,Prescription,,2021-11-28,2024-05-21
Clarimycin,Antibiotic,Syrup,254 mg,Biogen Inc.,Pain,Over-the-Counter,,2023-07-16,2025-05-30
Acetostatin,Analgesic,Inhaler,490 mg,CSL Limited,Diabetes,Prescription,,2021-01-29,2022-09-10
Ibuprophen,Antifungal,Ointment,967 mg,AbbVie Inc.,Depression,Over-the-Counter,,2021-02-25,2023-05-26
Ibuprovir,Antiseptic,Capsule,5 mg,Teva Pharmaceutical Industries Ltd.,Fever,Over-the-Counter,,2022-11-01,2025-08-12
Cefnazole,Antifungal,Capsule,83 mg,Eli Lilly and Company,Fungus,Over-the-Counter,,2023-03-22,2025-01-03
Amoxinazole,Antidiabetic,Tablet,489 mg,Sanofi S.A.,Pain,Over-the-Counter,,2021-09-29,2023-07-06
Metovir,Antidiabetic,Inhaler,277 mg,"Gilead Sciences, Inc.",Pain,Over-the-Counter,,2024-05-11,2026-07-01
Clarimet,Antidepressant,Injection,424 mg,AstraZeneca plc,Diabetes,Prescription,,2021-11-10,2024-03-07
Acetomet,Antiviral,Drops,226 mg,GlaxoSmithKline plc,Pain,Prescription,,2022-11-27,2025-05-17
Dolomet,Antidepressant,Syrup,82 mg,Johnson & Johnson,Infection,Prescription,,2025-05-27,2027-04-04
Cefcillin,Antifungal,Inhaler,36 mg,Eli Lilly and Company,Depression,Over-the-Counter,,2022-03-18,2024-11-15
Metoprofen,Antifungal,Injection,288 mg,GlaxoSmithKline plc,Pain,Prescription,,2023-04-20,2026-01-28
Claricillin,Antidiabetic,Tablet,734 mg,Novo Nordisk A/S,Virus,Prescription,,2023-10-11,2026-06-09
Clariprofen,Antidepressant,Drops,379 mg,Bayer AG,Virus,Over-the-Counter,,2024-03-17,2025-05-12
Cefphen,Antifungal,Cream,991 mg,Bristol-Myers Squibb Company,Fungus,Prescription,,2023-07-16,2024-11-14
Metophen,Antifungal,Tablet,346 mg,"Merck & Co., Inc.",Diabetes,Prescription,,2022-03-02,2023-12-16
Ibuprocillin,Antidepressant,Inhaler,903 mg,Bristol-Myers Squibb Company,Infection,Prescription,,2025-06-24,2028-02-11
Metoprofen,Antibiotic,Drops,304 mg,Eli Lilly and Company,Diabetes,Prescription,,2021-08-22,2023-06-27
Metostatin,Antipyretic,Ointment,982 mg,CSL Limited,Pain,Over-the-Counter,,2022-02-16,2024-08-31
Cefstatin,Antidiabetic,Cream,214 mg,Biogen Inc.,Virus,Over-the-Counter,,2023-01-10,2024-08-24
Clarimet,Antidiabetic,Inhaler,646 mg,Sanofi S.A.,Diabetes,Over-the-Counter,,2022-09-15,2023-09-20
Amoxistatin,Antibiotic,Capsule,819 mg,Novo Nordisk A/S,Depression,Over-the-Counter,,2021-07-11,2023-09-26
Metovir,Antidiabetic,Drops,656 mg,GlaxoSmithKline plc,Pain,Prescription,,2020-10-01,2022-08-06
Ibupromycin,Analgesic,Ointment,382 mg,"Gilead Sciences, Inc.",Wound,Over-the-Counter,,2021-11-30,2022-12-01
Dextronazole,Antiseptic,Tablet,367 mg,Boehringer Ingelheim GmbH,Diabetes,Prescription,,2020-05-27,2023-01-19
Dolonazole,Antifungal,Ointment,533 mg,GlaxoSmithKline plc,Pain,Over-the-Counter,,2021-07-17,2023-07-26
Acetostatin,Antipyretic,Drops,498 mg,CSL Limited,Fever,Prescription,,2022-08-20,2024-04-21
Cefmet,Analgesic,Inhaler,969 mg,"Merck & Co., Inc.",Depression,Prescription,,2023-03-31,2025-07-14
Doloprofen,Antipyretic,Inhaler,338 mg,"Gilead Sciences, Inc.",Diabetes,Over-the-Counter,,2025-06-20,2028-01-31
Claristatin,Antipyretic,Capsule,47 mg,Pfizer Inc.,Infection,Prescription,,2022-11-23,2024-09-21
Acetovir,Antibiotic,Capsule,940 mg,Takeda Pharmaceutical Company Limited,Diabetes,Prescription,,2021-07-27,2022-09-22
Amoxivir,Antidiabetic,Tablet,830 mg,AbbVie Inc.,Fever,Over-the-Counter,,2023-07-20,2025-02-28
Dolonazole,Antiseptic,Injection,235 mg,"Gilead Sciences, Inc.",Virus,Over-the-Counter,,2025-06-09,2027-08-08
Ibuprophen,Antidepressant,Drops,976 mg,"Gilead Sciences, Inc.",Infection,Prescription,,2025-02-09,2026-08-29
Acetostatin,Antidiabetic,Cream,722 mg,Teva Pharmaceutical Industries Ltd.,Pain,Prescription,,2021-08-17,2024-01-16
Metomycin,Analgesic,Inhaler,108 mg,Roche Holding AG,Pain,Prescription,,2022-07-03,2023-08-01
Dextromet,Antiseptic,Syrup,998 mg,"Merck & Co., Inc.",Virus,Prescription,,2024-06-23,2025-11-20
Metovir,Antifungal,Ointment,579 mg,Pfizer Inc.,Diabetes,Prescription,,2020-02-22,2022-08-22
Clarinazole,Antidiabetic,Injection,101 mg,Roche Holding AG,Pain,Prescription,,2021-09-22,2023-01-09
Amoximycin,Antipyretic,Syrup,808 mg,Roche Holding AG,Fungus,Over-the-Counter,,2025-07-27,2026-11-24
Dolomet,Analgesic,Drops,387 mg,Eli Lilly and Company,Diabetes,Over-the-Counter,,2023-12-02,2025-07-29
Amoximycin,Antiviral,Capsule,382 mg,GlaxoSmithKline plc,Pain,Over-the-Counter,,2021-09-16,2024-05-09
Claristatin,Antidepressant,Injection,270 mg,Novo Nordisk A/S,Diabetes,Prescription,,2023-05-13,2024-06-10
Ibuprocillin,Antipyretic,Ointment,559 mg,Novartis AG,Wound,Over-the-Counter,,2021-08-30,2023-12-08
Metophen,Antiseptic,Injection,156 mg,Boehringer Ingelheim GmbH,Fever,Over-the-Counter,,2024-09-21,2026-12-29
Acetoprofen,Antiviral,Injection,150 mg,Teva Pharmaceutical Industries Ltd.,Infection,Prescription,,2021-01-29,2022-09-22
Cefnazole,Antipyretic,Capsule,412 mg,GlaxoSmithKline plc,Infection,Prescription,,2024-08-27,2026-09-01
Amoxicillin,Antidepressant,Tablet,511 mg,Sanofi S.A.,Virus,Over-the-Counter,,2023-07-03,2026-05-14
Claristatin,Antibiotic,Injection,572 mg,Novo Nordisk A/S,Wound,Over-the-Counter,,2024-12-15,2026-05-12
Dextrocillin,Antidepressant,Inhaler,328 mg,AbbVie Inc.,Depression,Over-the-Counter,,2021-06-20,2023-06-28
Dextromycin,Antidiabetic,Ointment,948 mg,Johnson & Johnson,Diabetes,Over-the-Counter,,2024-08-28,2027-04-19
Dolophen,Antibiotic,Tablet,20 mg,Boehringer Ingelheim GmbH,Fever,Over-the-Counter,,2022-11-08,2025-04-06
Metoprofen,Antiviral,Inhaler,771 mg,Johnson & Johnson,Wound,Prescription,,2020-10-28,2023-01-03
Dolomet,Antiviral,Tablet,347 mg,Takeda Pharmaceutical Company Limited,Pain,Prescription,,2025-07-02,2027-03-10
Amoximycin,Antidiabetic,Cream,876 mg,Bayer AG,Fungus,Prescription,,2023-02-04,2025-05-21
Dolomycin,Antidiabetic,Capsule,135 mg,Bayer AG,Fungus,Prescription,,2023-02-25,2025-09-09
Metophen,Antipyretic,Capsule,700 mg,GlaxoSmithKline plc,Infection,Over-the-Counter,,2023-06-17,2025-12-03
Dolomycin,Antidepressant,Inhaler,463 mg,"Merck & Co., Inc.",Wound,Prescription,,2020-04-01,2021-05-16
Dolophen,Analgesic,Ointment,686 mg,CSL Limited,Pain,Prescription,,2021-12-07,2024-08-25
Metonazole,Analgesic,Cream,124 mg,Pfizer Inc.,Fever,Prescription,,2024-04-11,2026-10-01
Metomet,Analgesic,Syrup,271 mg,Bayer AG,Fungus,Over-the-Counter,,2022-10-29,2025-06-26
Acetomet,Analgesic,Capsule,211 mg,Boehringer Ingelheim GmbH,Depression,Over-the-Counter,,2021-07-21,2023-09-28
Doloprofen,Antipyretic,Syrup,567 mg,Takeda Pharmaceutical Company Limited,Depression,Prescription,,2025-02-25,2027-10-28
Dextrostatin,Antifungal,Cream,590 mg,Roche Holding AG,Virus,Over-the-Counter,,2020-04-02,2022-12-20
Cefprofen,Antibiotic,Ointment,114 mg,Novo Nordisk A/S,Wound,Over-the-Counter,,2020-02-08,2021-11-09
Metomet,Antidepressant,Injection,406 mg,"Merck & Co., Inc.",Diabetes,Prescription,,2021-03-02,2023-07-22
Acetovir,Analgesic,Tablet,563 mg,CSL Limited,Virus,Prescription,,2021-02-02,2022-05-07
Dextrovir,Antifungal,Inhaler,940 mg,Biogen Inc.,Diabetes,Prescription,,2024-06-06,2027-05-17
Clarivir,Antidiabetic,Drops,391 mg,Boehringer Ingelheim GmbH,Fever,Prescription,,2021-12-13,2023-05-07
Clarimycin,Antiviral,Cream,367 mg,"Merck & Co., Inc.",Virus,Prescription,,2024-10-24,2027-08-21
Amoxicillin,Antipyretic,Drops,941 mg,CSL Limited,Virus,Prescription,,2025-06-03,2027-07-09
Clarivir,Antibiotic,Capsule,504 mg,Roche Holding AG,Diabetes,Over-the-Counter,,2020-10-02,2023-02-17
Metophen,Antidiabetic,Capsule,879 mg,Roche Holding AG,Fever,Over-the-Counter,,2022-02-12,2024-04-01
Metonazole,Antibiotic,Drops,108 mg,Eli Lilly and Company,Infection,Over-the-Counter,,2020-09-23,2022-06-25
Dextronazole,Antibiotic,Ointment,917 mg,"Merck & Co., Inc.",Infection,Prescription,,2021-12-20,2023-11-10
Amoximycin,Antiseptic,Drops,410 mg,Roche Holding AG,Fungus,Prescription,,2024-12-12,2026-08-24
Ibupromycin,Antidepressant,Drops,197 mg,Roche Holding AG,Diabetes,Prescription,,2025-05-30,2027-12-07
Metovir,Antidepressant,Ointment,992 mg,"Merck & Co., Inc.",Pain,Prescription,,2020-12-28,2023-05-24
Metoprofen,Antibiotic,Ointment,792 mg,Johnson & Johnson,Virus,Prescription,,2024-12-05,2026-04-30
Dextrophen,Antidepressant,Inhaler,363 mg,Roche Holding AG,Fungus,Over-the-Counter,,2020-09-28,2022-07-19
Cefstatin,Antiviral,Tablet,808 mg,CSL Limited,Fungus,Prescription,,2021-02-21,2023-03-02
Acetocillin,Antiseptic,Capsule,263 mg,GlaxoSmithKline plc,Virus,Over-the-Counter,,2022-08-04,2025-05-31
Metonazole,Antidiabetic,Cream,585 mg,Eli Lilly and Company,Fungus,Prescription,,2024-03-18,2025-05-12
Ibupronazole,Antifungal,Injection,646 mg,Roche Holding AG,Pain,Prescription,,2022-05-22,2024-01-02
Cefprofen,Antibiotic,Tablet,112 mg,Johnson & Johnson,Pain,Over-the-Counter,,2021-02-15,2023-07-18
Ibuprostatin,Antidiabetic,Drops,157 mg,Amgen Inc.,Diabetes,Prescription,,2025-05-09,2026-05-28
Ibupronazole,Analgesic,Ointment,976 mg,Takeda Pharmaceutical Company Limited,Depression,Prescription,,2021-08-11,2023-01-16
Dolomycin,Antidepressant,Ointment,284 mg,Johnson & Johnson,Wound,Over-the-Counter,,2022-11-14,2025-02-25
Dolonazole,Antiviral,Capsule,503 mg,AbbVie Inc.,Wound,Prescription,,2020-09-30,2023-05-13
Dolovir,Antibiotic,Ointment,790 mg,Sanofi S.A.,Infection,Prescription,,2024-05-01,2026-05-01
Ibupromycin,Antiviral,Injection,260 mg,Takeda Pharmaceutical Company Limited,Pain,Prescription,,2023-01-05,2024-01-05
Cefmet,Antidepressant,Syrup,360 mg,"Gilead Sciences, Inc.",Infection,Prescription,,2025-07-03,2027-02-16
Cefstatin,Analgesic,Cream,394 mg,Roche Holding AG,Fever,Over-the-Counter,,2023-02-01,2026-01-25
Cefphen,Analgesic,Syrup,50 mg,"Merck & Co., Inc.",Fungus,Prescription,,2020-01-26,2021-11-03
Clarimet,Antipyretic,Capsule,714 mg,Novartis AG,Wound,Prescription,,2020-10-01,2022-01-27
Acetostatin,Antiviral,Inhaler,127 mg,"Gilead Sciences, Inc.",Fever,Prescription,,2025-06-14,2027-01-26
Clariprofen,Antipyretic,Drops,457 mg,"Merck & Co., Inc.",Depression,Prescription,,2020-12-11,2022-01-03
Cefmycin,Antifungal,Ointment,778 mg,Sanofi S.A.,Diabetes,Prescription,,2025-05-25,2028-04-25
Clarinazole,Antipyretic,Ointment,419 mg,Novartis AG,Virus,Prescription,,2021-06-18,2023-04-21
Clarimet,Antipyretic,Tablet,957 mg,Novo Nordisk A/S,Fungus,Prescription,,2024-08-21,2026-06-23
Acetomet,Antidiabetic,Cream,985 mg,GlaxoSmithKline plc,Fungus,Over-the-Counter,,2024-09-16,2027-04-07
Ibupromycin,Antifungal,Ointment,990 mg,Johnson & Johnson,Fungus,Prescription,,2020-09-02,2023-01-08
Cefphen,Antidiabetic,Syrup,194 mg,Pfizer Inc.,Fungus,Prescription,,2022-08-22,2025-01-10
Clariprofen,Antidiabetic,Cream,706 mg,"Gilead Sciences, Inc.",Wound,Prescription,,2023-06-02,2025-04-07
Amoxiphen,Antipyretic,Injection,984 mg,"Merck & Co., Inc.",Pain,Prescription,,2020-09-25,2021-12-22
Dextronazole,Antipyretic,Drops,813 mg,Pfizer Inc.,Fever,Over-the-Counter,,2021-06-16,2023-03-17
Acetomycin,Antiseptic,Cream,493 mg,Amgen Inc.,Pain,Prescription,,2024-04-03,2026-12-14
Ibuprocillin,Antiseptic,Inhaler,997 mg,Sanofi S.A.,Depression,Over-the-Counter,,2022-07-23,2025-05-05
Dextrocillin,Antifungal,Capsule,110 mg,Johnson & Johnson,Diabetes,Over-the-Counter,,2022-02-10,2024-06-03
Dolovir,Antifungal,Inhaler,58 mg,Bayer AG,Fever,Over-the-Counter,,2023-12-04,2026-03-04
Cefstatin,Antibiotic,Capsule,726 mg,Takeda Pharmaceutical Company Limited,Depression,Over-the-Counter,,2020-04-28,2022-12-04
Ibupronazole,Antibiotic,Ointment,894 mg,"Merck & Co., Inc.",Depression,Over-the-Counter,,2024-08-31,2026-08-20
Acetoprofen,Antifungal,Injection,906 mg,AbbVie Inc.,Diabetes,Prescription,,2020-07-13,2022-03-31
Cefstatin,Antifungal,Injection,876 mg,Roche Holding AG,Wound,Over-the-Counter,,2023-05-25,2024-11-15
Dextronazole,Analgesic,Tablet,723 mg,Bristol-Myers Squibb Company,Infection,Prescription,,2020-03-29,2022-05-06
Dextrocillin,Antipyretic,Injection,54 mg,Roche Holding AG,Fungus,Prescription,,2021-03-13,2022-10-28
Ibupromycin,Antipyretic,Tablet,47 mg,Teva Pharmaceutical Industries Ltd.,Pain,Prescription,,2023-05-16,2025-12-23
Acetomycin,Antipyretic,Syrup,272 mg,AbbVie Inc.,Virus,Over-the-Counter,,2023-02-21,2025-01-08
Ibuprocillin,Analgesic,Capsule,743 mg,Eli Lilly and Company,Fever,Prescription,,2024-09-27,2027-08-22
Clarimycin,Antiviral,Ointment,509 mg,Novo Nordisk A/S,Wound,Prescription,,2025-01-07,2026-10-10
Dolocillin,Antifungal,Tablet,608 mg,AbbVie Inc.,Pain,Prescription,,2022-04-14,2025-02-18
Clarivir,Analgesic,Injection,92 mg,Roche Holding AG,Depression,Over-the-Counter,,2025-04-28,2027-01-27
Dolonazole,Antiviral,Syrup,505 mg,Novo Nordisk A/S,Infection,Over-the-Counter,,2020-05-13,2021-12-15
Acetophen,Antipyretic,Drops,784 mg,"Gilead Sciences, Inc.",Pain,Over-the-Counter,,2024-11-26,2026-06-03
Acetoprofen,Antiviral,Ointment,53 mg,Amgen Inc.,Wound,Over-the-Counter,,2024-06-30,2025-07-17
Claristatin,Antifungal,Capsule,472 mg,Boehringer Ingelheim GmbH,Wound,Prescription,,2023-11-25,2026-01-11
Ibupronazole,Analgesic,Ointment,548 mg,Novartis AG,Depression,Prescription,,2024-06-07,2025-12-07
Cefvir,Analgesic,Capsule,305 mg,Bristol-Myers Squibb Company,Wound,Prescription,,2024-07-11,2027-03-20
Cefnazole,Antiviral,Injection,697 mg,Bristol-Myers Squibb Company,Fever,Prescription,,2021-04-09,2022-12-07
Clarivir,Antifungal,Inhaler,438 mg,Bristol-Myers Squibb Company,Virus,Over-the-Counter,,2022-09-15,2024-11-13
Dextrovir,Antifungal,Inhaler,827 mg,Teva Pharmaceutical Industries Ltd.,Fungus,Over-the-Counter,,2024-03-17,2025-05-08
Acetomycin,Antiviral,Tablet,176 mg,Biogen Inc.,Wound,Prescription,,2021-05-26,2023-01-06
Amoxivir,Antifungal,Ointment,279 mg,"Gilead Sciences, Inc.",Infection,Over-the-Counter,,2024-02-10,2027-01-23
Dolomet,Antidiabetic,Capsule,898 mg,Johnson & Johnson,Fever,Over-the-Counter,,2022-07-01,2025-02-17
Ibuprostatin,Antiseptic,Cream,256 mg,AstraZeneca plc,Fungus,Over-the-Counter,,2021-07-31,2024-02-12
Doloprofen,Antidiabetic,Syrup,942 mg,"Merck & Co., Inc.",Fever,Prescription,,2025-07-17,2027-05-31
Metophen,Antibiotic,Tablet,197 mg,Sanofi S.A.,Depression,Over-the-Counter,,2024-06-18,2027-05-25
Metovir,Antipyretic,Drops,493 mg,Sanofi S.A.,Fever,Over-the-Counter,,2020-12-29,2023-01-01
Acetocillin,Antidepressant,Ointment,765 mg,Bristol-Myers Squibb Company,Fever,Prescription,,2021-02-28,2022-11-02
Ibupromycin,Antifungal,Syrup,815 mg,Pfizer Inc.,Fever,Over-the-Counter,,2023-03-30,2025-10-17
Dextromet,Antibiotic,Syrup,257 mg,Boehringer Ingelheim GmbH,Infection,Prescription,,2024-11-13,2026-05-08
Ibuprostatin,Antiviral,Ointment,935 mg,Johnson & Johnson,Fever,Over-the-Counter,,2020-07-14,2022-11-01
Cefprofen,Antidepressant,Tablet,401 mg,"Gilead Sciences, Inc.",Virus,Over-the-Counter,,2023-10-13,2026-08-04
Dextronazole,Antibiotic,Tablet,491 mg,Boehringer Ingelheim GmbH,Infection,Over-the-Counter,,2023-02-07,2024-02-19
Doloprofen,Antidiabetic,Inhaler,131 mg,"Merck & Co., Inc.",Diabetes,Prescription,,2023-07-02,2025-06-26
Dextromet,Antidiabetic,Syrup,591 mg,GlaxoSmithKline plc,Fever,Over-the-Counter,,2021-02-15,2022-11-30
Acetovir,Antifungal,Drops,521 mg,Novo Nordisk A/S,Depression,Over-the-Counter,,2021-02-11,2023-04-17
Doloprofen,Antidepressant,Syrup,223 mg,Amgen Inc.,Wound,Over-the-Counter,,2021-02-17,2023-09-15
Cefphen,Antibiotic,Cream,461 mg,Roche Holding AG,Depression,Prescription,,2025-07-19,2027-06-22
Dolophen,Analgesic,Syrup,581 mg,Bristol-Myers Squibb Company,Virus,Over-the-Counter,,2023-11-12,2026-07-20
Dextromet,Antifungal,Drops,94 mg,AstraZeneca plc,Fever,Prescription,,2021-10-31,2022-12-03
Dextroprofen,Antidepressant,Drops,389 mg,"Merck & Co., Inc.",Diabetes,Over-the-Counter,,2024-06-15,2026-05-04
Clarivir,Antipyretic,Drops,730 mg,Pfizer Inc.,Pain,Over-the-Counter,,2022-04-04,2024-10-05
Amoxivir,Antiseptic,Syrup,198 mg,Sanofi S.A.,Virus,Prescription,,2023-03-21,2025-06-18
Cefprofen,Antiviral,Inhaler,391 mg,Eli Lilly and Company,Depression,Over-the-Counter,,2021-08-24,2023-04-05
Ibuproprofen,Antidepressant,Tablet,782 mg,Novartis AG,Fever,Prescription,,2025-04-22,2028-01-22
Cefprofen,Antiviral,Ointment,404 mg,Novo Nordisk A/S,Pain,Over-the-Counter,,2024-12-02,2026-04-13
Ibuproprofen,Antidepressant,Tablet,549 mg,"Gilead Sciences, Inc.",Infection,Over-the-Counter,,2022-09-29,2025-01-20
