Name,Category,Dosage Form,Strength,Manufacturer,Indication,Classification,Unnamed: 7,Manufactured Date,Expiry Date,Strength_mg
metocillin,antibiotic,cream,106 mg,amgen inc.,depression,over-the-counter,,2021-10-21,2024-06-05,106.0
cefprofen,antiseptic,tablet,245 mg,novartis ag,pain,over-the-counter,,2021-07-19,2023-07-09,245.0
dextromycin,antipyretic,capsule,986 mg,takeda pharmaceutical company limited,wound,over-the-counter,,2020-08-21,2021-09-16,986.0
acetonazole,antidepressant,ointment,93 mg,takeda pharmaceutical company limited,pain,prescription,,2023-10-30,2026-08-12,93.0
dextromycin,antibiotic,inhaler,920 mg,abbvie inc.,pain,over-the-counter,,2020-02-09,2021-03-26,920.0
ibupromycin,antipyretic,injection,760 mg,boehringer ingelheim gmbh,wound,prescription,,2021-06-01,2023-08-30,760.0
amoxicillin,analgesic,cream,594 mg,amgen inc.,fungus,over-the-counter,,2022-03-04,2023-06-23,594.0
ibupronazole,antiseptic,cream,747 mg,eli lilly and company,pain,prescription,,2024-10-14,2027-08-07,747.0
clariprofen,antidiabetic,injection,650 mg,takeda pharmaceutical company limited,wound,prescription,,2020-05-11,2022-05-20,650.0
ibupromycin,antibiotic,inhaler,486 mg,teva pharmaceutical industries ltd.,fungus,prescription,,2022-10-25,2024-09-03,486.0
acetophen,analgesic,cream,76 mg,"merck & co., inc.",virus,over-the-counter,,2024-09-05,2026-01-08,76.0
dextrostatin,antifungal,capsule,296 mg,"merck & co., inc.",wound,prescription,,2024-09-02,2025-09-08,296.0
dolomet,antiseptic,tablet,352 mg,novo nordisk a/s,diabetes,over-the-counter,,2022-03-09,2024-09-20,352.0
metophen,antiseptic,tablet,404 mg,astrazeneca plc,virus,prescription,,2021-03-12,2023-03-06,404.0
clariphen,antipyretic,syrup,956 mg,takeda pharmaceutical company limited,pain,over-the-counter,,2025-02-08,2027-09-08,956.0
cefcillin,antidiabetic,ointment,517 mg,roche holding ag,pain,over-the-counter,,2020-09-23,2022-09-19,517.0
amoximet,antifungal,capsule,727 mg,johnson & johnson,pain,over-the-counter,,2022-09-24,2025-08-02,727.0
amoxivir,antifungal,syrup,289 mg,novartis ag,virus,over-the-counter,,2022-10-13,2025-09-19,289.0
metophen,antidiabetic,drops,44 mg,takeda pharmaceutical company limited,fever,over-the-counter,,2020-09-15,2023-08-10,44.0
clariphen,analgesic,ointment,742 mg,abbvie inc.,depression,over-the-counter,,2024-04-05,2025-12-24,742.0
cefmet,antidepressant,injection,720 mg,sanofi s.a.,diabetes,prescription,,2024-05-13,2026-02-11,720.0
cefnazole,antiviral,inhaler,520 mg,csl limited,diabetes,prescription,,2024-01-20,2026-10-10,520.0
acetovir,antidepressant,injection,188 mg,"gilead sciences, inc.",wound,prescription,,2023-06-03,2025-07-02,188.0
dextrophen,analgesic,inhaler,406 mg,"merck & co., inc.",wound,over-the-counter,,2021-09-01,2023-07-10,406.0
amoxinazole,analgesic,ointment,35 mg,pfizer inc.,depression,prescription,,2020-04-09,2022-08-13,35.0
dextromet,antiviral,syrup,564 mg,astrazeneca plc,fever,prescription,,2022-09-28,2024-11-04,564.0
clarinazole,antibiotic,syrup,252 mg,novartis ag,infection,over-the-counter,,2022-09-12,2024-09-22,252.0
ibuproprofen,antidepressant,inhaler,832 mg,amgen inc.,fungus,over-the-counter,,2024-10-25,2027-07-30,832.0
clarinazole,analgesic,tablet,234 mg,novartis ag,diabetes,prescription,,2025-05-31,2028-03-19,234.0
clariprofen,antidepressant,cream,801 mg,boehringer ingelheim gmbh,infection,prescription,,2021-11-28,2024-05-21,801.0
clarimycin,antibiotic,syrup,254 mg,biogen inc.,pain,over-the-counter,,2023-07-16,2025-05-30,254.0
acetostatin,analgesic,inhaler,490 mg,csl limited,diabetes,prescription,,2021-01-29,2022-09-10,490.0
ibuprophen,antifungal,ointment,967 mg,abbvie inc.,depression,over-the-counter,,2021-02-25,2023-05-26,967.0
ibuprovir,antiseptic,capsule,5 mg,teva pharmaceutical industries ltd.,fever,over-the-counter,,2022-11-01,2025-08-12,5.0
cefnazole,antifungal,capsule,83 mg,eli lilly and company,fungus,over-the-counter,,2023-03-22,2025-01-03,83.0
amoxinazole,antidiabetic,tablet,489 mg,sanofi s.a.,pain,over-the-counter,,2021-09-29,2023-07-06,489.0
metovir,antidiabetic,inhaler,277 mg,"gilead sciences, inc.",pain,over-the-counter,,2024-05-11,2026-07-01,277.0
clarimet,antidepressant,injection,424 mg,astrazeneca plc,diabetes,prescription,,2021-11-10,2024-03-07,424.0
acetomet,antiviral,drops,226 mg,glaxosmithkline plc,pain,prescription,,2022-11-27,2025-05-17,226.0
dolomet,antidepressant,syrup,82 mg,johnson & johnson,infection,prescription,,2025-05-27,2027-04-04,82.0
cefcillin,antifungal,inhaler,36 mg,eli lilly and company,depression,over-the-counter,,2022-03-18,2024-11-15,36.0
metoprofen,antifungal,injection,288 mg,glaxosmithkline plc,pain,prescription,,2023-04-20,2026-01-28,288.0
claricillin,antidiabetic,tablet,734 mg,novo nordisk a/s,virus,prescription,,2023-10-11,2026-06-09,734.0
clariprofen,antidepressant,drops,379 mg,bayer ag,virus,over-the-counter,,2024-03-17,2025-05-12,379.0
cefphen,antifungal,cream,991 mg,bristol-myers squibb company,fungus,prescription,,2023-07-16,2024-11-14,991.0
metophen,antifungal,tablet,346 mg,"merck & co., inc.",diabetes,prescription,,2022-03-02,2023-12-16,346.0
ibuprocillin,antidepressant,inhaler,903 mg,bristol-myers squibb company,infection,prescription,,2025-06-24,2028-02-11,903.0
metoprofen,antibiotic,drops,304 mg,eli lilly and company,diabetes,prescription,,2021-08-22,2023-06-27,304.0
metostatin,antipyretic,ointment,982 mg,csl limited,pain,over-the-counter,,2022-02-16,2024-08-31,982.0
cefstatin,antidiabetic,cream,214 mg,biogen inc.,virus,over-the-counter,,2023-01-10,2024-08-24,214.0
clarimet,antidiabetic,inhaler,646 mg,sanofi s.a.,diabetes,over-the-counter,,2022-09-15,2023-09-20,646.0
amoxistatin,antibiotic,capsule,819 mg,novo nordisk a/s,depression,over-the-counter,,2021-07-11,2023-09-26,819.0
metovir,antidiabetic,drops,656 mg,glaxosmithkline plc,pain,prescription,,2020-10-01,2022-08-06,656.0
ibupromycin,analgesic,ointment,382 mg,"gilead sciences, inc.",wound,over-the-counter,,2021-11-30,2022-12-01,382.0
dextronazole,antiseptic,tablet,367 mg,boehringer ingelheim gmbh,diabetes,prescription,,2020-05-27,2023-01-19,367.0
dolonazole,antifungal,ointment,533 mg,glaxosmithkline plc,pain,over-the-counter,,2021-07-17,2023-07-26,533.0
acetostatin,antipyretic,drops,498 mg,csl limited,fever,prescription,,2022-08-20,2024-04-21,498.0
cefmet,analgesic,inhaler,969 mg,"merck & co., inc.",depression,prescription,,2023-03-31,2025-07-14,969.0
doloprofen,antipyretic,inhaler,338 mg,"gilead sciences, inc.",diabetes,over-the-counter,,2025-06-20,2028-01-31,338.0
claristatin,antipyretic,capsule,47 mg,pfizer inc.,infection,prescription,,2022-11-23,2024-09-21,47.0
acetovir,antibiotic,capsule,940 mg,takeda pharmaceutical company limited,diabetes,prescription,,2021-07-27,2022-09-22,940.0
amoxivir,antidiabetic,tablet,830 mg,abbvie inc.,fever,over-the-counter,,2023-07-20,2025-02-28,830.0
dolonazole,antiseptic,injection,235 mg,"gilead sciences, inc.",virus,over-the-counter,,2025-06-09,2027-08-08,235.0
ibuprophen,antidepressant,drops,976 mg,"gilead sciences, inc.",infection,prescription,,2025-02-09,2026-08-29,976.0
acetostatin,antidiabetic,cream,722 mg,teva pharmaceutical industries ltd.,pain,prescription,,2021-08-17,2024-01-16,722.0
metomycin,analgesic,inhaler,108 mg,roche holding ag,pain,prescription,,2022-07-03,2023-08-01,108.0
dextromet,antiseptic,syrup,998 mg,"merck & co., inc.",virus,prescription,,2024-06-23,2025-11-20,998.0
metovir,antifungal,ointment,579 mg,pfizer inc.,diabetes,prescription,,2020-02-22,2022-08-22,579.0
clarinazole,antidiabetic,injection,101 mg,roche holding ag,pain,prescription,,2021-09-22,2023-01-09,101.0
amoximycin,antipyretic,syrup,808 mg,roche holding ag,fungus,over-the-counter,,2025-07-27,2026-11-24,808.0
dolomet,analgesic,drops,387 mg,eli lilly and company,diabetes,over-the-counter,,2023-12-02,2025-07-29,387.0
amoximycin,antiviral,capsule,382 mg,glaxosmithkline plc,pain,over-the-counter,,2021-09-16,2024-05-09,382.0
claristatin,antidepressant,injection,270 mg,novo nordisk a/s,diabetes,prescription,,2023-05-13,2024-06-10,270.0
ibuprocillin,antipyretic,ointment,559 mg,novartis ag,wound,over-the-counter,,2021-08-30,2023-12-08,559.0
metophen,antiseptic,injection,156 mg,boehringer ingelheim gmbh,fever,over-the-counter,,2024-09-21,2026-12-29,156.0
acetoprofen,antiviral,injection,150 mg,teva pharmaceutical industries ltd.,infection,prescription,,2021-01-29,2022-09-22,150.0
cefnazole,antipyretic,capsule,412 mg,glaxosmithkline plc,infection,prescription,,2024-08-27,2026-09-01,412.0
amoxicillin,antidepressant,tablet,511 mg,sanofi s.a.,virus,over-the-counter,,2023-07-03,2026-05-14,511.0
claristatin,antibiotic,injection,572 mg,novo nordisk a/s,wound,over-the-counter,,2024-12-15,2026-05-12,572.0
dextrocillin,antidepressant,inhaler,328 mg,abbvie inc.,depression,over-the-counter,,2021-06-20,2023-06-28,328.0
dextromycin,antidiabetic,ointment,948 mg,johnson & johnson,diabetes,over-the-counter,,2024-08-28,2027-04-19,948.0
dolophen,antibiotic,tablet,20 mg,boehringer ingelheim gmbh,fever,over-the-counter,,2022-11-08,2025-04-06,20.0
metoprofen,antiviral,inhaler,771 mg,johnson & johnson,wound,prescription,,2020-10-28,2023-01-03,771.0
dolomet,antiviral,tablet,347 mg,takeda pharmaceutical company limited,pain,prescription,,2025-07-02,2027-03-10,347.0
amoximycin,antidiabetic,cream,876 mg,bayer ag,fungus,prescription,,2023-02-04,2025-05-21,876.0
dolomycin,antidiabetic,capsule,135 mg,bayer ag,fungus,prescription,,2023-02-25,2025-09-09,135.0
metophen,antipyretic,capsule,700 mg,glaxosmithkline plc,infection,over-the-counter,,2023-06-17,2025-12-03,700.0
dolomycin,antidepressant,inhaler,463 mg,"merck & co., inc.",wound,prescription,,2020-04-01,2021-05-16,463.0
dolophen,analgesic,ointment,686 mg,csl limited,pain,prescription,,2021-12-07,2024-08-25,686.0
metonazole,analgesic,cream,124 mg,pfizer inc.,fever,prescription,,2024-04-11,2026-10-01,124.0
metomet,analgesic,syrup,271 mg,bayer ag,fungus,over-the-counter,,2022-10-29,2025-06-26,271.0
acetomet,analgesic,capsule,211 mg,boehringer ingelheim gmbh,depression,over-the-counter,,2021-07-21,2023-09-28,211.0
doloprofen,antipyretic,syrup,567 mg,takeda pharmaceutical company limited,depression,prescription,,2025-02-25,2027-10-28,567.0
dextrostatin,antifungal,cream,590 mg,roche holding ag,virus,over-the-counter,,2020-04-02,2022-12-20,590.0
cefprofen,antibiotic,ointment,114 mg,novo nordisk a/s,wound,over-the-counter,,2020-02-08,2021-11-09,114.0
metomet,antidepressant,injection,406 mg,"merck & co., inc.",diabetes,prescription,,2021-03-02,2023-07-22,406.0
acetovir,analgesic,tablet,563 mg,csl limited,virus,prescription,,2021-02-02,2022-05-07,563.0
dextrovir,antifungal,inhaler,940 mg,biogen inc.,diabetes,prescription,,2024-06-06,2027-05-17,940.0
clarivir,antidiabetic,drops,391 mg,boehringer ingelheim gmbh,fever,prescription,,2021-12-13,2023-05-07,391.0
clarimycin,antiviral,cream,367 mg,"merck & co., inc.",virus,prescription,,2024-10-24,2027-08-21,367.0
amoxicillin,antipyretic,drops,941 mg,csl limited,virus,prescription,,2025-06-03,2027-07-09,941.0
clarivir,antibiotic,capsule,504 mg,roche holding ag,diabetes,over-the-counter,,2020-10-02,2023-02-17,504.0
metophen,antidiabetic,capsule,879 mg,roche holding ag,fever,over-the-counter,,2022-02-12,2024-04-01,879.0
metonazole,antibiotic,drops,108 mg,eli lilly and company,infection,over-the-counter,,2020-09-23,2022-06-25,108.0
dextronazole,antibiotic,ointment,917 mg,"merck & co., inc.",infection,prescription,,2021-12-20,2023-11-10,917.0
amoximycin,antiseptic,drops,410 mg,roche holding ag,fungus,prescription,,2024-12-12,2026-08-24,410.0
ibupromycin,antidepressant,drops,197 mg,roche holding ag,diabetes,prescription,,2025-05-30,2027-12-07,197.0
metovir,antidepressant,ointment,992 mg,"merck & co., inc.",pain,prescription,,2020-12-28,2023-05-24,992.0
metoprofen,antibiotic,ointment,792 mg,johnson & johnson,virus,prescription,,2024-12-05,2026-04-30,792.0
dextrophen,antidepressant,inhaler,363 mg,roche holding ag,fungus,over-the-counter,,2020-09-28,2022-07-19,363.0
cefstatin,antiviral,tablet,808 mg,csl limited,fungus,prescription,,2021-02-21,2023-03-02,808.0
acetocillin,antiseptic,capsule,263 mg,glaxosmithkline plc,virus,over-the-counter,,2022-08-04,2025-05-31,263.0
metonazole,antidiabetic,cream,585 mg,eli lilly and company,fungus,prescription,,2024-03-18,2025-05-12,585.0
ibupronazole,antifungal,injection,646 mg,roche holding ag,pain,prescription,,2022-05-22,2024-01-02,646.0
cefprofen,antibiotic,tablet,112 mg,johnson & johnson,pain,over-the-counter,,2021-02-15,2023-07-18,112.0
ibuprostatin,antidiabetic,drops,157 mg,amgen inc.,diabetes,prescription,,2025-05-09,2026-05-28,157.0
ibupronazole,analgesic,ointment,976 mg,takeda pharmaceutical company limited,depression,prescription,,2021-08-11,2023-01-16,976.0
dolomycin,antidepressant,ointment,284 mg,johnson & johnson,wound,over-the-counter,,2022-11-14,2025-02-25,284.0
dolonazole,antiviral,capsule,503 mg,abbvie inc.,wound,prescription,,2020-09-30,2023-05-13,503.0
dolovir,antibiotic,ointment,790 mg,sanofi s.a.,infection,prescription,,2024-05-01,2026-05-01,790.0
ibupromycin,antiviral,injection,260 mg,takeda pharmaceutical company limited,pain,prescription,,2023-01-05,2024-01-05,260.0
cefmet,antidepressant,syrup,360 mg,"gilead sciences, inc.",infection,prescription,,2025-07-03,2027-02-16,360.0
cefstatin,analgesic,cream,394 mg,roche holding ag,fever,over-the-counter,,2023-02-01,2026-01-25,394.0
cefphen,analgesic,syrup,50 mg,"merck & co., inc.",fungus,prescription,,2020-01-26,2021-11-03,50.0
clarimet,antipyretic,capsule,714 mg,novartis ag,wound,prescription,,2020-10-01,2022-01-27,714.0
acetostatin,antiviral,inhaler,127 mg,"gilead sciences, inc.",fever,prescription,,2025-06-14,2027-01-26,127.0
clariprofen,antipyretic,drops,457 mg,"merck & co., inc.",depression,prescription,,2020-12-11,2022-01-03,457.0
cefmycin,antifungal,ointment,778 mg,sanofi s.a.,diabetes,prescription,,2025-05-25,2028-04-25,778.0
clarinazole,antipyretic,ointment,419 mg,novartis ag,virus,prescription,,2021-06-18,2023-04-21,419.0
clarimet,antipyretic,tablet,957 mg,novo nordisk a/s,fungus,prescription,,2024-08-21,2026-06-23,957.0
acetomet,antidiabetic,cream,985 mg,glaxosmithkline plc,fungus,over-the-counter,,2024-09-16,2027-04-07,985.0
ibupromycin,antifungal,ointment,990 mg,johnson & johnson,fungus,prescription,,2020-09-02,2023-01-08,990.0
cefphen,antidiabetic,syrup,194 mg,pfizer inc.,fungus,prescription,,2022-08-22,2025-01-10,194.0
clariprofen,antidiabetic,cream,706 mg,"gilead sciences, inc.",wound,prescription,,2023-06-02,2025-04-07,706.0
amoxiphen,antipyretic,injection,984 mg,"merck & co., inc.",pain,prescription,,2020-09-25,2021-12-22,984.0
dextronazole,antipyretic,drops,813 mg,pfizer inc.,fever,over-the-counter,,2021-06-16,2023-03-17,813.0
acetomycin,antiseptic,cream,493 mg,amgen inc.,pain,prescription,,2024-04-03,2026-12-14,493.0
ibuprocillin,antiseptic,inhaler,997 mg,sanofi s.a.,depression,over-the-counter,,2022-07-23,2025-05-05,997.0
dextrocillin,antifungal,capsule,110 mg,johnson & johnson,diabetes,over-the-counter,,2022-02-10,2024-06-03,110.0
dolovir,antifungal,inhaler,58 mg,bayer ag,fever,over-the-counter,,2023-12-04,2026-03-04,58.0
cefstatin,antibiotic,capsule,726 mg,takeda pharmaceutical company limited,depression,over-the-counter,,2020-04-28,2022-12-04,726.0
ibupronazole,antibiotic,ointment,894 mg,"merck & co., inc.",depression,over-the-counter,,2024-08-31,2026-08-20,894.0
acetoprofen,antifungal,injection,906 mg,abbvie inc.,diabetes,prescription,,2020-07-13,2022-03-31,906.0
cefstatin,antifungal,injection,876 mg,roche holding ag,wound,over-the-counter,,2023-05-25,2024-11-15,876.0
dextronazole,analgesic,tablet,723 mg,bristol-myers squibb company,infection,prescription,,2020-03-29,2022-05-06,723.0
dextrocillin,antipyretic,injection,54 mg,roche holding ag,fungus,prescription,,2021-03-13,2022-10-28,54.0
ibupromycin,antipyretic,tablet,47 mg,teva pharmaceutical industries ltd.,pain,prescription,,2023-05-16,2025-12-23,47.0
acetomycin,antipyretic,syrup,272 mg,abbvie inc.,virus,over-the-counter,,2023-02-21,2025-01-08,272.0
ibuprocillin,analgesic,capsule,743 mg,eli lilly and company,fever,prescription,,2024-09-27,2027-08-22,743.0
clarimycin,antiviral,ointment,509 mg,novo nordisk a/s,wound,prescription,,2025-01-07,2026-10-10,509.0
dolocillin,antifungal,tablet,608 mg,abbvie inc.,pain,prescription,,2022-04-14,2025-02-18,608.0
clarivir,analgesic,injection,92 mg,roche holding ag,depression,over-the-counter,,2025-04-28,2027-01-27,92.0
dolonazole,antiviral,syrup,505 mg,novo nordisk a/s,infection,over-the-counter,,2020-05-13,2021-12-15,505.0
acetophen,antipyretic,drops,784 mg,"gilead sciences, inc.",pain,over-the-counter,,2024-11-26,2026-06-03,784.0
acetoprofen,antiviral,ointment,53 mg,amgen inc.,wound,over-the-counter,,2024-06-30,2025-07-17,53.0
claristatin,antifungal,capsule,472 mg,boehringer ingelheim gmbh,wound,prescription,,2023-11-25,2026-01-11,472.0
ibupronazole,analgesic,ointment,548 mg,novartis ag,depression,prescription,,2024-06-07,2025-12-07,548.0
cefvir,analgesic,capsule,305 mg,bristol-myers squibb company,wound,prescription,,2024-07-11,2027-03-20,305.0
cefnazole,antiviral,injection,697 mg,bristol-myers squibb company,fever,prescription,,2021-04-09,2022-12-07,697.0
clarivir,antifungal,inhaler,438 mg,bristol-myers squibb company,virus,over-the-counter,,2022-09-15,2024-11-13,438.0
dextrovir,antifungal,inhaler,827 mg,teva pharmaceutical industries ltd.,fungus,over-the-counter,,2024-03-17,2025-05-08,827.0
acetomycin,antiviral,tablet,176 mg,biogen inc.,wound,prescription,,2021-05-26,2023-01-06,176.0
amoxivir,antifungal,ointment,279 mg,"gilead sciences, inc.",infection,over-the-counter,,2024-02-10,2027-01-23,279.0
dolomet,antidiabetic,capsule,898 mg,johnson & johnson,fever,over-the-counter,,2022-07-01,2025-02-17,898.0
ibuprostatin,antiseptic,cream,256 mg,astrazeneca plc,fungus,over-the-counter,,2021-07-31,2024-02-12,256.0
doloprofen,antidiabetic,syrup,942 mg,"merck & co., inc.",fever,prescription,,2025-07-17,2027-05-31,942.0
metophen,antibiotic,tablet,197 mg,sanofi s.a.,depression,over-the-counter,,2024-06-18,2027-05-25,197.0
metovir,antipyretic,drops,493 mg,sanofi s.a.,fever,over-the-counter,,2020-12-29,2023-01-01,493.0
acetocillin,antidepressant,ointment,765 mg,bristol-myers squibb company,fever,prescription,,2021-02-28,2022-11-02,765.0
ibupromycin,antifungal,syrup,815 mg,pfizer inc.,fever,over-the-counter,,2023-03-30,2025-10-17,815.0
dextromet,antibiotic,syrup,257 mg,boehringer ingelheim gmbh,infection,prescription,,2024-11-13,2026-05-08,257.0
ibuprostatin,antiviral,ointment,935 mg,johnson & johnson,fever,over-the-counter,,2020-07-14,2022-11-01,935.0
cefprofen,antidepressant,tablet,401 mg,"gilead sciences, inc.",virus,over-the-counter,,2023-10-13,2026-08-04,401.0
dextronazole,antibiotic,tablet,491 mg,boehringer ingelheim gmbh,infection,over-the-counter,,2023-02-07,2024-02-19,491.0
doloprofen,antidiabetic,inhaler,131 mg,"merck & co., inc.",diabetes,prescription,,2023-07-02,2025-06-26,131.0
dextromet,antidiabetic,syrup,591 mg,glaxosmithkline plc,fever,over-the-counter,,2021-02-15,2022-11-30,591.0
acetovir,antifungal,drops,521 mg,novo nordisk a/s,depression,over-the-counter,,2021-02-11,2023-04-17,521.0
doloprofen,antidepressant,syrup,223 mg,amgen inc.,wound,over-the-counter,,2021-02-17,2023-09-15,223.0
cefphen,antibiotic,cream,461 mg,roche holding ag,depression,prescription,,2025-07-19,2027-06-22,461.0
dolophen,analgesic,syrup,581 mg,bristol-myers squibb company,virus,over-the-counter,,2023-11-12,2026-07-20,581.0
dextromet,antifungal,drops,94 mg,astrazeneca plc,fever,prescription,,2021-10-31,2022-12-03,94.0
dextroprofen,antidepressant,drops,389 mg,"merck & co., inc.",diabetes,over-the-counter,,2024-06-15,2026-05-04,389.0
clarivir,antipyretic,drops,730 mg,pfizer inc.,pain,over-the-counter,,2022-04-04,2024-10-05,730.0
amoxivir,antiseptic,syrup,198 mg,sanofi s.a.,virus,prescription,,2023-03-21,2025-06-18,198.0
cefprofen,antiviral,inhaler,391 mg,eli lilly and company,depression,over-the-counter,,2021-08-24,2023-04-05,391.0
ibuproprofen,antidepressant,tablet,782 mg,novartis ag,fever,prescription,,2025-04-22,2028-01-22,782.0
cefprofen,antiviral,ointment,404 mg,novo nordisk a/s,pain,over-the-counter,,2024-12-02,2026-04-13,404.0
ibuproprofen,antidepressant,tablet,549 mg,"gilead sciences, inc.",infection,over-the-counter,,2022-09-29,2025-01-20,549.0
claricillin,antipyretic,injection,375 mg,johnson & johnson,fever,prescription,,2024-08-01,2027-02-03,375.0
dextromycin,antidiabetic,ointment,272 mg,teva pharmaceutical industries ltd.,diabetes,over-the-counter,,2020-05-30,2022-01-05,272.0
dolocillin,analgesic,capsule,225 mg,sanofi s.a.,depression,over-the-counter,,2020-06-19,2022-07-24,225.0
ibuprophen,antipyretic,tablet,118 mg,pfizer inc.,virus,over-the-counter,,2023-01-27,2025-09-23,118.0
cefphen,antipyretic,tablet,999 mg,astrazeneca plc,depression,prescription,,2021-08-06,2024-04-07,999.0
dolophen,antidepressant,tablet,650 mg,novo nordisk a/s,depression,prescription,,2022-06-01,2023-07-30,650.0
ibupronazole,antidiabetic,inhaler,886 mg,boehringer ingelheim gmbh,depression,over-the-counter,,2023-06-07,2026-03-08,886.0
cefmet,antipyretic,inhaler,222 mg,johnson & johnson,fungus,over-the-counter,,2021-09-14,2023-01-23,222.0
clariphen,antifungal,cream,90 mg,novartis ag,virus,over-the-counter,,2023-11-21,2025-12-17,90.0
metophen,antiviral,capsule,218 mg,abbvie inc.,infection,prescription,,2022-12-08,2025-07-10,218.0
dolophen,antipyretic,ointment,66 mg,csl limited,fungus,prescription,,2020-04-26,2021-05-09,66.0
acetophen,antibiotic,tablet,21 mg,novartis ag,virus,over-the-counter,,2021-02-15,2023-04-25,21.0
dolocillin,antiseptic,capsule,279 mg,"merck & co., inc.",depression,prescription,,2021-01-29,2023-05-17,279.0
dextrocillin,antiviral,ointment,252 mg,amgen inc.,fever,over-the-counter,,2024-10-05,2026-03-04,252.0
metovir,antiseptic,cream,44 mg,novartis ag,depression,over-the-counter,,2020-08-22,2023-07-08,44.0
